country,year,primary_energy_consumption,renewables_consumption,fossil_fuel_consumption
Azerbaijan,2023,227.849,5.29,222.559
Bangladesh,1971,13.407,0.517,12.889
Bangladesh,1972,15.191,0.517,14.673
Bangladesh,1973,19.48,0.979,18.501
Bangladesh,1974,20.747,0.719,20.028
Bangladesh,1975,21.331,1.289,20.042
Bangladesh,1976,24.893,1.461,23.432
Bangladesh,1977,25.438,1.292,24.146
Bangladesh,1978,27.024,1.496,25.528
Bangladesh,1979,29.795,1.736,28.059
Bangladesh,1980,34.75,1.724,33.026
Bangladesh,1981,36.84,1.848,34.992
Bangladesh,1982,40.641,1.547,39.095
Bangladesh,1983,40.19,1.958,38.233
Bangladesh,1984,43.443,2.652,40.79
Bangladesh,1985,48.274,2.185,46.089
Bangladesh,1986,52.537,1.331,51.206
Bangladesh,1987,57.985,1.529,56.456
Bangladesh,1988,64.576,1.996,62.58
Bangladesh,1989,69.614,2.72,66.894
Bangladesh,1990,73.856,2.614,71.242
Bangladesh,1991,71.255,2.478,68.777
Bangladesh,1992,77.711,2.354,75.357
Bangladesh,1993,85.436,1.798,83.638
Bangladesh,1994,90.69,2.505,88.186
Bangladesh,1995,107.109,1.1,106.009
Bangladesh,1996,112.202,2.185,110.017
Bangladesh,1997,117.891,2.126,115.765
Bangladesh,1998,125.559,2.558,123.001
Bangladesh,1999,126.985,2.463,124.522
Bangladesh,2000,136.121,2.215,133.906
Bangladesh,2001,155.585,2.917,152.668
Bangladesh,2002,156.023,2.186,153.837
Bangladesh,2003,164.916,2.175,162.741
Bangladesh,2004,175.367,2.164,173.204
Bangladesh,2005,190.132,2.154,187.978
Bangladesh,2006,205.741,2.151,203.589
Bangladesh,2007,211.576,2.148,209.428
Bangladesh,2008,222.774,2.72,220.054
Bangladesh,2009,245.258,1.25,244.008
Bangladesh,2010,251.009,2.162,248.846
Bangladesh,2011,271.52,2.763,268.757
Bangladesh,2012,294.953,2.576,292.377
Bangladesh,2013,306.461,2.533,303.928
Bangladesh,2014,318.42,2.181,316.239
Bangladesh,2015,385.018,3.16,381.858
Bangladesh,2016,386.638,2.982,383.656
Bangladesh,2017,402.839,3.541,399.297
Bangladesh,2018,430.201,3.148,427.053
Bangladesh,2019,482.462,3.181,479.281
Bangladesh,2020,457.292,3.071,454.221
Bangladesh,2021,492.381,3.413,488.968
Bangladesh,2022,517.975,4.304,513.671
Bangladesh,2023,508.489,5.126,503.364
Belarus,1985,408.044,0.059,407.985
Belarus,1986,465.838,0.059,465.779
Belarus,1987,472.619,0.059,472.56
Belarus,1988,479.405,0.059,479.346
Belarus,1989,463.661,0.059,463.602
Belarus,1990,465.972,0.059,465.913
Belarus,1991,464.906,0.053,464.853
Belarus,1992,403.156,0.05,403.105
Belarus,1993,337.112,0.056,337.056
Belarus,1994,281.814,0.056,281.757
Belarus,1995,250.706,0.059,250.647
Belarus,1996,257.138,0.047,257.091
Belarus,1997,260.101,0.062,260.039
Belarus,1998,254.351,0.083,254.268
Belarus,1999,247.417,0.056,247.36
Belarus,2000,254.999,0.08,254.919
Belarus,2001,247.911,0.088,247.823
Belarus,2002,256.476,0.085,256.391
Belarus,2003,254.552,0.081,254.471
Belarus,2004,285.033,0.098,284.935
Belarus,2005,284.106,0.106,284.0
Belarus,2006,302.112,0.109,302.003
Belarus,2007,294.727,0.146,294.58
Belarus,2008,298.614,0.3,298.314
Belarus,2009,282.515,0.556,281.959
Belarus,2010,306.201,0.786,305.415
Belarus,2011,300.684,0.749,299.935
Belarus,2012,325.236,0.856,324.38
Belarus,2013,294.205,0.928,293.277
Belarus,2014,294.863,0.898,293.965
Belarus,2015,266.962,0.954,266.007
Belarus,2016,272.798,1.151,271.647
Belarus,2017,277.84,2.119,275.72
Belarus,2018,307.215,1.923,305.292
Belarus,2019,308.79,2.35,306.44
Belarus,2020,286.544,2.838,282.854
Belarus,2021,306.055,3.601,287.94
Belarus,2022,294.333,3.627,278.984
Belarus,2023,296.066,3.244,263.571
Belgium,1965,412.941,0.804,412.137
Belgium,1966,397.859,0.884,396.958
Belgium,1967,417.655,0.704,416.684
Belgium,1968,465.417,0.722,464.522
Belgium,1969,510.775,0.68,510.032
Belgium,1970,539.591,0.727,538.702
Belgium,1971,529.334,0.396,528.938
Belgium,1972,562.733,0.532,562.169
Belgium,1973,570.326,0.876,569.234
Belgium,1974,550.783,1.054,549.308
Belgium,1975,518.019,0.806,497.963
Belgium,1976,549.579,0.504,520.598
Belgium,1977,550.602,1.451,515.274
Belgium,1978,574.714,1.489,537.719
Belgium,1979,591.323,1.697,557.258
Belgium,1980,566.106,1.78,528.719
Belgium,1981,538.297,2.056,499.754
Belgium,1982,514.88,1.132,469.302
Belgium,1983,498.969,1.064,429.504
Belgium,1984,521.477,1.115,441.641
Belgium,1985,544.368,1.018,445.17
Belgium,1986,561.724,1.394,448.549
Belgium,1987,578.68,1.74,457.858
Belgium,1988,590.204,1.66,466.242
Belgium,1989,594.57,1.532,476.084
Belgium,1990,621.353,1.707,498.421
Belgium,1991,642.88,1.655,519.606
Belgium,1992,641.509,1.887,516.315
Belgium,1993,631.183,1.557,510.658
Belgium,1994,663.908,1.832,546.805
Belgium,1995,672.12,2.051,552.721
Belgium,1996,713.881,1.733,589.182
Belgium,1997,721.262,1.803,584.938
Belgium,1998,735.386,2.329,602.064
Belgium,1999,730.141,2.63,588.424
Belgium,2000,743.348,3.221,603.482
Belgium,2001,736.859,3.31,602.887
Belgium,2002,733.474,3.519,597.305
Belgium,2003,761.691,3.707,626.13
Belgium,2004,764.62,4.636,629.156
Belgium,2005,756.118,6.553,618.787
